total_packets,outgoing_packets,incoming_packets,packet_ratio,unique_destinations,dest_diversity_ratio,protocol_diversity,tcp_packets,udp_packets,icmp_packets,avg_time_between_packets,std_time_between_packets,min_time_between_packets,rapid_packets,unique_ports,port_range,sequential_ports,common_ports,avg_packet_size,std_packet_size,small_packets,response_ratio,no_response_ratio,window_id,packet_position,is_scan,scan_score,rf_prediction,rf_probability,svm_prediction,svm_probability
1000,95,110,0.8636363636363636,7,0.07368421052631578,7,23,21,0,1,0,1,95,0,0,0,0,281.65263157894736,451.33696824277047,69,1.1578947368421053,0.0,81,81000,1,8,1,0.94,1,0.9722984883489284
1000,97,79,1.2278481012658229,10,0.10309278350515463,7,40,24,0,1,0,1,97,0,0,0,0,253.2680412371134,420.69368595867735,68,0.8144329896907216,0.18556701030927836,82,82000,1,8,1,0.96,1,0.994520652602068
1000,256,291,0.8797250859106529,16,0.0625,4,159,13,0,1,0,1,256,0,0,0,0,406.99609375,540.59150246161,137,1.13671875,0.0,83,83000,1,8,1,1.0,1,0.9999940763661849
1000,127,81,1.5679012345679013,20,0.15748031496062992,6,85,13,0,1,0,1,127,1,0,0,0,283.18110236220474,477.2786683470074,88,0.6377952755905512,0.36220472440944884,84,84000,1,8,1,1.0,1,0.9800678350699542
1000,209,166,1.2590361445783131,11,0.05263157894736842,6,114,27,0,1,0,1,209,0,0,0,0,389.6794258373206,532.9511068710275,112,0.7942583732057417,0.20574162679425836,85,85000,1,8,1,1.0,1,0.9999966204384115
1000,336,263,1.2775665399239544,13,0.03869047619047619,7,156,46,0,1,0,1,336,0,0,0,0,408.5357142857143,541.5097291650297,187,0.7827380952380952,0.21726190476190477,86,86000,1,8,1,1.0,1,0.999994023528005
1000,200,159,1.2578616352201257,13,0.065,5,117,25,0,1,0,1,200,0,0,0,0,394.94,542.4324948390228,111,0.795,0.205,87,87000,1,8,1,1.0,1,0.9999978787879611
1000,64,54,1.1851851851851851,10,0.15625,6,31,15,0,1,0,1,64,0,0,0,0,220.015625,399.70260739099353,47,0.84375,0.15625,88,88000,1,8,1,0.95,1,0.9730051770114939
1000,87,84,1.0357142857142858,13,0.14942528735632185,3,58,3,0,1,0,1,87,0,0,0,0,312.1034482758621,455.1293461557464,53,0.9655172413793104,0.034482758620689655,89,89000,1,8,1,0.97,1,0.9667140775169725
1000,119,136,0.875,18,0.15126050420168066,4,80,6,0,1,0,1,119,0,0,0,0,250.15126050420167,414.58681981419994,79,1.1428571428571428,0.0,90,90000,1,8,1,1.0,1,0.9999849333363003
